N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
520,824,4279,5000,0.8558,0.00496802495968,0.845789608063,0.865264095233
521,815,4282,5000,0.8564,0.00495941609466,0.846405994426,0.865846787628
522,806,4294,5000,0.8588,0.00492468394925,0.848872120004,0.86817697708
523,797,4298,5000,0.8596,0.00491299989823,0.849694370437,0.868953498324
524,788,4306,5000,0.8612,0.00488946950088,0.851339188637,0.870506223478
525,779,4309,5000,0.8618,0.00488058930868,0.85195610553,0.871088385343
526,771,4318,5000,0.8636,0.00485376225211,0.853807220818,0.872834506328
527,762,4316,5000,0.8632,0.00485974814162,0.853395814312,0.872446526995
528,753,4325,5000,0.865,0.00483270110808,0.855247359695,0.874192217885
529,744,4344,5000,0.8688,0.0047746530764,0.859158032623,0.877875710423
530,735,4339,5000,0.8678,0.00479005553204,0.858128660543,0.876906617906
531,726,4340,5000,0.868,0.00478698234799,0.858334520673,0.877100450695
532,717,4340,5000,0.868,0.00478698234799,0.858334520673,0.877100450695
533,709,4343,5000,0.8686,0.00477774088875,0.858952143893,0.877681906233
534,700,4342,5000,0.8684,0.0047808250334,0.858746262335,0.877488094872
535,691,4340,5000,0.868,0.00478698234799,0.858334520673,0.877100450695
536,682,4344,5000,0.8688,0.0047746530764,0.859158032623,0.877875710423
537,673,4343,5000,0.8686,0.00477774088875,0.858952143893,0.877681906233
538,664,4350,5000,0.87,0.00475604878024,0.860393516358,0.879038384202
539,655,4356,5000,0.8712,0.00473731062946,0.861629261777,0.880200796299
540,647,4362,5000,0.8724,0.00471843702936,0.862865271992,0.881362943599
541,638,4350,5000,0.87,0.00475604878024,0.860393516358,0.879038384202
542,629,4354,5000,0.8708,0.00474357165014,0.861217317371,0.879813354866
543,620,4358,5000,0.8716,0.00473103455916,0.862041235605,0.88058820831
544,611,4355,5000,0.871,0.00474044301727,0.861423285904,0.880007079253
545,602,4355,5000,0.871,0.00474044301727,0.861423285904,0.880007079253
546,593,4361,5000,0.8722,0.00472159210436,0.862659251767,0.881169270905
547,585,4361,5000,0.8722,0.00472159210436,0.862659251767,0.881169270905
548,576,4359,5000,0.8718,0.00472789086168,0.862247233588,0.880781903246
549,567,4369,5000,0.8738,0.00469624445701,0.864307622835,0.882718443191
550,558,4366,5000,0.8732,0.00470577857533,0.86368942748,0.882137559788
551,549,4366,5000,0.8732,0.00470577857533,0.86368942748,0.882137559788
552,540,4368,5000,0.8736,0.00469942634797,0.864101550187,0.882524822919
553,531,4376,5000,0.8752,0.0046738626424,0.865750343618,0.884073572842
554,523,4381,5000,0.8762,0.00465775825908,0.866781087905,0.885041293151
555,514,4382,5000,0.8764,0.00465452553973,0.866987259912,0.885234814063
556,505,4388,5000,0.8776,0.00463504563084,0.868224455359,0.886395776132
557,496,4392,5000,0.8784,0.00462197879701,0.869049409146,0.887169594021
558,487,4391,5000,0.8782,0.00462525156073,0.868843158863,0.886976151385
559,478,4390,5000,0.878,0.0046285202819,0.868636916482,0.886782700847
560,469,4403,5000,0.8806,0.00458570910547,0.871318688634,0.889296936646
561,461,4408,5000,0.8816,0.0045690576709,0.872350502235,0.89026358764
562,452,4410,5000,0.882,0.0045623678063,0.872763284927,0.890650190787
563,443,4407,5000,0.8814,0.00457239630828,0.872144123193,0.890070273763
564,434,4398,5000,0.8796,0.00460225683768,0.87028707773,0.888330082953
565,425,4402,5000,0.8804,0.0045890269121,0.871112350308,0.889103582053
566,416,4406,5000,0.8812,0.00457573076131,0.87193775233,0.889876951707
567,407,4405,5000,0.881,0.00457906103912,0.871731389627,0.88968362149
568,399,4410,5000,0.882,0.0045623678063,0.872763284927,0.890650190787
569,390,4412,5000,0.8824,0.00455566109363,0.873176100548,0.891036761004
570,381,4413,5000,0.8826,0.004552301396,0.873382520754,0.891230033718
