N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
605,64,44956,50000,0.89912,0.00134687212162,0.896449440777,0.901729235813
606,55,44989,50000,0.89978,0.00134295161194,0.897117072725,0.902381502458
607,46,44994,50000,0.89988,0.00134235603027,0.897218232147,0.902480327671
608,37,44993,50000,0.89986,0.00134247517966,0.897198000198,0.902460562693
609,28,45000,50000,0.9,0.0013416407865,0.897339624523,0.902598916857
610,19,44990,50000,0.8998,0.00134283252865,0.897137304545,0.902401267565
611,10,44995,50000,0.8999,0.00134223686434,0.897238464129,0.902500092616
