N_A,N_B,cost_yuan
540,635,9.0797263855
545,590,9.0785482875
550,546,9.0790457056
555,502,9.079543123699999
560,457,9.0783650257
565,413,9.0788624438
570,369,9.0793598619
575,325,9.07985728
580,280,9.078679182
585,236,9.0791766001
590,192,9.0796740182
595,147,9.078495920200002
600,103,9.0789933383
605,59,9.0794907564
610,15,9.0799881745
611,6,9.0797525549
