N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
595,171,4492,5000,0.8984,0.00427264414619,0.889717548357,0.906470746733
596,162,4494,5000,0.8988,0.00426517432235,0.890131855228,0.906855825701
597,154,4495,5000,0.899,0.00426143168431,0.890339023758,0.907048350089
598,145,4499,5000,0.8998,0.0042464093067,0.891167799134,0.907818346391
599,136,4505,5000,0.901,0.00422371874064,0.892411268929,0.908973034111
600,127,4516,5000,0.9032,0.00418162073842,0.894691937695,0.911088987457
601,118,4522,5000,0.9044,0.00415838045397,0.895936481412,0.912242601255
602,109,4528,5000,0.9056,0.00413493990283,0.89718141634,0.913395823842
603,100,4531,5000,0.9062,0.004123143461,0.897804032587,0.913972286353
604,92,4537,5000,0.9074,0.00409939605308,0.899049566916,0.915124909539
605,83,4535,5000,0.907,0.00410733490234,0.89863434379,0.914740746827
606,74,4542,5000,0.9084,0.00407944702135,0.900087823786,0.916085117265
607,65,4541,5000,0.9082,0.00408344854259,0.89988014953,0.915893098602
608,56,4536,5000,0.9072,0.00410336837245,0.898841949699,0.914932833837
609,47,4539,5000,0.9078,0.00409143397845,0.899464835408,0.915509026885
610,38,4538,5000,0.9076,0.00409541792739,0.899257195475,0.915316973899
611,30,4542,5000,0.9084,0.00407944702135,0.900087823786,0.916085117265
612,21,4543,5000,0.9086,0.00407543960819,0.90029550955,0.916277124421
613,12,4546,5000,0.9092,0.00406338184275,0.90091863623,0.916853076499
614,3,4545,5000,0.909,0.00406740703643,0.900710915737,0.916661104072
