N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
612,1,44931,50000,0.89862,0.00134983032712,0.89594368227,0.901235071143
612,2,44940,50000,0.8988,0.00134876654763,0.896125753031,0.901412972725
612,3,44954,50000,0.89908,0.00134710915371,0.89640897936,0.901689703375
612,4,44961,50000,0.89922,0.00134627925484,0.89655059488,0.901828066345
612,5,44970,50000,0.8994,0.00134521106151,0.896732674289,0.90200595928
612,6,44978,50000,0.89956,0.00134426043905,0.896894524842,0.902164084143
612,7,44986,50000,0.89972,0.00134330876272,0.89705637746,0.902322206942
612,8,45000,50000,0.9,0.0013416407865,0.897339624523,0.902598916857
