N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
540,611,1719,2000,0.8595,0.00777044882874,0.843580026467,0.874041616538
545,566,1719,2000,0.8595,0.00777044882874,0.843580026467,0.874041616538
550,522,1724,2000,0.862,0.00771219813023,0.846188956671,0.876423101097
555,478,1750,2000,0.875,0.00739509972887,0.859783043497,0.888779171042
560,434,1751,2000,0.8755,0.00738240306404,0.860306867839,0.889253429653
565,389,1759,2000,0.8795,0.00727941446821,0.864500218082,0.893044743031
570,345,1770,2000,0.885,0.00713354750457,0.87027436287,0.898249510723
575,301,1788,2000,0.894,0.00688345843308,0.879745143684,0.906744223059
580,256,1789,2000,0.8945,0.0068691247623,0.880272153864,0.907215295832
585,212,1787,2000,0.8935,0.00689774419647,0.879218226692,0.906273057098
590,168,1780,2000,0.89,0.00699642765988,0.875532369526,0.902972333595
595,124,1780,2000,0.89,0.00699642765988,0.875532369526,0.902972333595
600,79,1782,2000,0.891,0.00696846468026,0.876585019652,0.903915849374
605,35,1778,2000,0.889,0.00702420814042,0.874480074476,0.902028462739
608,8,1786,2000,0.893,0.00691198234951,0.878691402312,0.905801798525
