N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
590,203,44663,50000,0.89326,0.00138091688671,0.890523176463,0.895936400495
591,194,44676,50000,0.89352,0.0013794347364,0.890786060934,0.896193476076
592,186,44683,50000,0.89366,0.00137863558927,0.8909276162,0.8963318993
593,177,44706,50000,0.89412,0.0013760045465,0.891392736692,0.89678670813
594,168,44728,50000,0.89456,0.00137348029764,0.891837649444,0.897221727774
595,159,44753,50000,0.89506,0.00137060276083,0.892343249892,0.897716050502
596,150,44762,50000,0.89524,0.00136956447384,0.892525270705,0.897894002033
597,141,44761,50000,0.89522,0.00136967990129,0.892505046048,0.897874229763
598,132,44776,50000,0.89552,0.00136794685277,0.892808419105,0.898170810612
599,124,44803,50000,0.89606,0.00136481849636,0.893354507984,0.898704638764
600,115,44842,50000,0.89684,0.00136027948893,0.89414334275,0.899475684154
601,106,44858,50000,0.89716,0.00135841035332,0.894466980943,0.899791996794
602,97,44879,50000,0.89758,0.00135595091062,0.894891768223,0.900207144982
603,88,44901,50000,0.89802,0.00135336676182,0.89533679834,0.900642047261
604,79,44904,50000,0.89808,0.00135301377377,0.895397485449,0.900701350933
605,70,44916,50000,0.89832,0.00135160036697,0.895640236734,0.900938562773
606,62,44936,50000,0.89872,0.00134923950135,0.896044832374,0.901333905675
607,53,44948,50000,0.89896,0.0013478198574,0.89628759588,0.901571105293
608,44,44957,50000,0.89914,0.00134675358102,0.896469671533,0.901749001984
609,35,44954,50000,0.89908,0.00134710915371,0.89640897936,0.901689703375
610,26,44976,50000,0.89952,0.00134449819338,0.89685406201,0.902124553121
611,17,44967,50000,0.89934,0.00134556727368,0.896671980863,0.901946661924
612,8,45000,50000,0.9,0.0013416407865,0.897339624523,0.902598916857
