N_A,N_B,cost_yuan
230,3386,9.0874233336
231,3377,9.087187713999999
232,3368,9.086952094399999
233,3359,9.0867164748
234,3350,9.086480855200001
235,3341,9.0862452356
236,3333,9.087685132099999
237,3324,9.087449512500001
238,3315,9.0872138929
239,3306,9.0869782733
240,3297,9.0867426537
241,3288,9.0865070341
242,3279,9.0862714145
243,3271,9.087711311
244,3262,9.0874756914
245,3253,9.0872400718
246,3244,9.0870044522
247,3235,9.0867688326
248,3226,9.086533213000001
249,3217,9.086297593400001
250,3209,9.0877374899
251,3200,9.087501870299999
252,3191,9.0872662507
253,3182,9.087030631100001
254,3173,9.086795011500001
255,3164,9.0865593919
256,3155,9.0863237723
257,3147,9.0877636688
258,3138,9.0875280492
259,3129,9.0872924296
260,3120,9.08705681
261,3111,9.0868211904
262,3102,9.0865855708
263,3093,9.086349951199999
264,3085,9.0877898477
265,3076,9.0875542281
266,3067,9.0873186085
267,3058,9.0870829889
268,3049,9.0868473693
269,3040,9.086611749700001
270,3031,9.0863761301
271,3023,9.087816026599999
272,3014,9.087580407
273,3005,9.0873447874
274,2996,9.087109167800001
275,2987,9.0868735482
276,2978,9.0866379286
277,2969,9.086402309
278,2961,9.0878422055
279,2952,9.087606585900001
280,2943,9.0873709663
281,2934,9.0871353467
282,2925,9.0868997271
283,2916,9.086664107499999
284,2907,9.086428487900001
285,2899,9.0878683844
286,2890,9.0876327648
287,2881,9.0873971452
288,2872,9.0871615256
289,2863,9.086925906000001
290,2854,9.0866902864
291,2845,9.0864546668
292,2836,9.0862190472
293,2828,9.0876589437
294,2819,9.087423324100001
295,2810,9.0871877045
296,2801,9.0869520849
297,2792,9.0867164653
298,2783,9.086480845699999
299,2774,9.0862452261
300,2766,9.0876851226
301,2757,9.087449503
302,2748,9.0872138834
303,2739,9.086978263799999
304,2730,9.086742644200001
305,2721,9.0865070246
306,2712,9.086271405000002
307,2704,9.0877113015
308,2695,9.087475681899999
309,2686,9.087240062300001
310,2677,9.0870044427
311,2668,9.086768823100002
312,2659,9.0865332035
313,2650,9.0862975839
314,2642,9.087737480400001
315,2633,9.0875018608
316,2624,9.0872662412
317,2615,9.0870306216
318,2606,9.086795001999999
319,2597,9.0865593824
320,2588,9.0863237628
321,2580,9.0877636593
322,2571,9.0875280397
323,2562,9.087292420099999
324,2553,9.087056800500001
325,2544,9.0868211809
326,2535,9.086585561300002
327,2526,9.0863499417
328,2518,9.087789838199999
329,2509,9.0875542186
330,2500,9.087318599
331,2491,9.087082979400002
332,2482,9.0868473598
333,2473,9.0866117402
334,2464,9.0863761206
335,2456,9.0878160171
336,2447,9.0875803975
337,2438,9.0873447779
338,2429,9.087109158299999
339,2420,9.0868735387
340,2411,9.0866379191
341,2402,9.086402299500001
342,2394,9.087842196
343,2385,9.087606576399999
344,2376,9.087370956800001
345,2367,9.0871353372
346,2358,9.0868997176
347,2349,9.086664098
348,2340,9.0864284784
349,2332,9.087868374900001
350,2323,9.0876327553
351,2314,9.0873971357
352,2305,9.0871615161
353,2296,9.0869258965
354,2287,9.0866902769
355,2278,9.086454657300001
356,2269,9.0862190377
357,2261,9.0876589342
358,2252,9.0874233146
359,2243,9.087187695
360,2234,9.086952075400001
361,2225,9.0867164558
362,2216,9.0864808362
363,2207,9.0862452166
364,2199,9.087685113100001
365,2190,9.0874494935
366,2181,9.0872138739
367,2172,9.0869782543
368,2163,9.0867426347
369,2154,9.0865070151
370,2145,9.086271395499999
371,2137,9.087711292
372,2128,9.0874756724
373,2119,9.0872400528
374,2110,9.0870044332
375,2101,9.0867688136
376,2092,9.086533194000001
377,2083,9.0862975744
378,2075,9.0877374709
379,2066,9.0875018513
380,2057,9.087266231700001
381,2048,9.0870306121
382,2039,9.0867949925
383,2030,9.0865593729
384,2021,9.0863237533
385,2013,9.087763649800001
386,2004,9.0875280302
387,1995,9.0872924106
388,1986,9.087056791
389,1977,9.0868211714
390,1968,9.086585551799999
391,1959,9.086349932200001
392,1951,9.0877898287
393,1942,9.0875542091
394,1933,9.0873185895
395,1924,9.087082969899999
396,1915,9.086847350300001
397,1906,9.0866117307
398,1897,9.0863761111
399,1889,9.0878160076
400,1880,9.087580388000001
401,1871,9.0873447684
402,1862,9.0871091488
403,1853,9.086873529200002
404,1844,9.0866379096
405,1835,9.08640229
406,1827,9.0878421865
407,1818,9.0876065669
408,1809,9.0873709473
409,1800,9.0871353277
410,1791,9.086899708099999
411,1782,9.086664088500001
412,1773,9.086428468900001
413,1765,9.0878683654
414,1756,9.0876327458
415,1747,9.087397126199999
416,1738,9.087161506600001
417,1729,9.086925887
418,1720,9.0866902674
419,1711,9.0864546478
420,1702,9.0862190282
421,1694,9.087658924700001
422,1685,9.0874233051
423,1676,9.0871876855
424,1667,9.0869520659
425,1658,9.0867164463
426,1649,9.0864808267
427,1640,9.086245207100001
428,1632,9.0876851036
429,1623,9.087449484
430,1614,9.0872138644
431,1605,9.086978244800001
432,1596,9.086742625200001
433,1587,9.0865070056
434,1578,9.086271386
435,1570,9.087711282499999
436,1561,9.087475662900001
437,1552,9.0872400433
438,1543,9.0870044237
439,1534,9.0867688041
440,1525,9.0865331845
441,1516,9.0862975649
442,1508,9.0877374614
443,1499,9.0875018418
444,1490,9.0872662222
445,1481,9.0870306026
446,1472,9.086794983
447,1463,9.086559363400001
448,1454,9.0863237438
449,1446,9.0877636403
450,1437,9.0875280207
451,1428,9.087292401100001
452,1419,9.087056781500001
453,1410,9.0868211619
454,1401,9.0865855423
455,1392,9.0863499227
456,1384,9.087789819200001
457,1375,9.0875541996
458,1366,9.08731858
459,1357,9.0870829604
460,1348,9.0868473408
461,1339,9.0866117212
462,1330,9.086376101599999
463,1322,9.0878159981
464,1313,9.0875803785
465,1304,9.0873447589
466,1295,9.0871091393
467,1286,9.0868735197
468,1277,9.086637900100001
469,1268,9.0864022805
470,1260,9.087842177
471,1251,9.087606557400001
472,1242,9.087370937800001
473,1233,9.0871353182
474,1224,9.0868996986
475,1215,9.086664079
476,1206,9.0864284594
477,1198,9.087868355900001
478,1189,9.0876327363
479,1180,9.0873971167
480,1171,9.0871614971
481,1162,9.0869258775
482,1153,9.086690257899999
483,1144,9.086454638300001
484,1135,9.0862190187
485,1127,9.0876589152
486,1118,9.0874232956
487,1109,9.087187676000001
488,1100,9.086952056400001
489,1091,9.0867164368
490,1082,9.0864808172
491,1073,9.0862451976
492,1065,9.087685094100001
493,1056,9.0874494745
494,1047,9.0872138549
495,1038,9.0869782353
496,1029,9.0867426157
497,1020,9.0865069961
498,1011,9.086271376500001
499,1003,9.087711273
500,994,9.0874756534
501,985,9.0872400338
502,976,9.087004414199999
503,967,9.086768794600001
504,958,9.086533175000001
505,949,9.0862975554
506,941,9.0877374519
507,932,9.0875018323
508,923,9.087266212700001
509,914,9.0870305931
510,905,9.0867949735
511,896,9.0865593539
512,887,9.0863237343
513,879,9.087763630800001
514,870,9.0875280112
515,861,9.0872923916
516,852,9.087056772
517,843,9.0868211524
518,834,9.086585532800001
519,825,9.086349913200001
520,817,9.0877898097
