N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
540,557,852,1000,0.852,0.011229247526,0.828644950703,0.872661011324
545,513,854,1000,0.854,0.0111661989952,0.830759928423,0.87453072657
550,468,856,1000,0.856,0.011102432166,0.83287629787,0.876399050088
555,424,854,1000,0.854,0.0111661989952,0.830759928423,0.87453072657
560,380,867,1000,0.867,0.0107382959542,0.844542319929,0.886648839343
565,336,872,1000,0.872,0.0105648473723,0.84986041385,0.891292477837
570,291,877,1000,0.877,0.0103860964756,0.855188767353,0.895925856749
575,247,882,1000,0.882,0.0102017645533,0.860527914918,0.900548441599
580,203,872,1000,0.872,0.0105648473723,0.84986041385,0.891292477837
585,158,878,1000,0.878,0.0103496859856,0.856255715298,0.896851255287
590,114,879,1000,0.879,0.0103130499853,0.857323099357,0.897776217711
595,70,886,1000,0.886,0.0100500746266,0.864807399546,0.904238342903
600,26,878,1000,0.878,0.0103496859856,0.856255715298,0.896851255287
602,8,878,1000,0.878,0.0103496859856,0.856255715298,0.896851255287
