N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
575,335,4419,5000,0.8838,0.00453205383904,0.874621216662,0.892389495325
576,326,4419,5000,0.8838,0.00453205383904,0.874621216662,0.892389495325
577,318,4428,5000,0.8856,0.00450139178477,0.876479828726,0.894128119534
578,309,4436,5000,0.8872,0.00447383862025,0.878132510762,0.895672980852
579,300,4437,5000,0.8874,0.00447037448096,0.878339135091,0.895866049442
580,291,4446,5000,0.8892,0.00443899448074,0.880199150283,0.897603270523
581,282,4452,5000,0.8904,0.00441786916963,0.881439561641,0.89876101668
582,273,4450,5000,0.89,0.00442492937797,0.881026055157,0.898375137326
583,264,4450,5000,0.89,0.00442492937797,0.881026055157,0.898375137326
584,256,4451,5000,0.8902,0.00442140158773,0.881232803877,0.898568081525
585,247,4454,5000,0.8908,0.00441079040536,0.881853104387,0.899146859772
586,238,4458,5000,0.8916,0.00439657685023,0.882680299365,0.899918436472
587,229,4454,5000,0.8908,0.00441079040536,0.881853104387,0.899146859772
588,220,4465,5000,0.893,0.00437152147427,0.884128245552,0.901268340719
589,211,4464,5000,0.8928,0.0043751150842,0.883921368211,0.901075525141
