N_A,N_B,cost_yuan
1,4765,7.9986782418
31,4500,7.9999872343
61,4234,7.9996207107
91,3968,7.9992541871
121,3702,7.9988876635
151,3436,7.9985211399
181,3171,7.9998301324
211,2905,7.9994636088
241,2639,7.999097085200001
271,2373,7.9987305616
301,2107,7.998364038
331,1842,7.9996730305
361,1576,7.9993065069
391,1310,7.9989399833000006
421,1044,7.998573459700001
451,779,7.9998824522000005
481,513,7.999515928600001
511,247,7.999149405
538,8,7.9994897402000005
