N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
605,64,44842,50000,0.89684,0.00136027948893,0.89414334275,0.899475684154
606,55,44864,50000,0.89728,0.00135770837517,0.894588347327,0.899910611973
607,46,44878,50000,0.89756,0.00135606818708,0.894871539944,0.900187376335
608,37,44877,50000,0.89754,0.0013561854475,0.894851311695,0.900167607656
609,28,44891,50000,0.89782,0.00135454234042,0.895134510032,0.900444366299
610,19,44893,50000,0.89786,0.00135430735359,0.895174967441,0.900483902744
611,10,44894,50000,0.89788,0.00135418983603,0.895195196193,0.900503670919
