N_A,N_B,cost_yuan
1,5302,8.8984303875
11,5214,8.899425223700002
21,5125,8.8987445438
31,5037,8.89973938
41,4948,8.8990587001
51,4859,8.898378020200001
61,4771,8.8993728564
71,4682,8.8986921765
81,4594,8.8996870127
91,4505,8.8990063328
101,4416,8.898325652899999
111,4328,8.899320489099999
121,4239,8.898639809199999
131,4151,8.899634645399999
141,4062,8.898953965499999
151,3974,8.899948801699999
161,3885,8.8992681218
171,3796,8.8985874419
181,3708,8.8995822781
191,3619,8.8989015982
201,3531,8.8998964344
211,3442,8.8992157545
221,3353,8.8985350746
231,3265,8.8995299108
241,3176,8.8988492309
251,3088,8.8998440671
261,2999,8.899163387200002
271,2910,8.8984827073
281,2822,8.899477543500002
291,2733,8.8987968636
301,2645,8.899791699800002
311,2556,8.899111019900001
321,2467,8.89843034
331,2379,8.899425176200001
341,2290,8.8987444963
351,2202,8.899739332500001
361,2113,8.8990586526
371,2024,8.8983779727
381,1936,8.8993728089
391,1847,8.898692129
401,1759,8.8996869652
411,1670,8.8990062853
421,1581,8.8983256054
431,1493,8.8993204416
441,1404,8.8986397617
451,1316,8.8996345979
461,1227,8.898953918
471,1139,8.8999487542
481,1050,8.8992680743
491,961,8.8985873944
501,873,8.8995822306
511,784,8.8989015507
521,696,8.8998963869
531,607,8.899215707000002
541,518,8.898535027100001
551,430,8.8995298633
561,341,8.8988491834
571,253,8.899844019600001
581,164,8.899163339700001
591,75,8.898482659799999
599,5,8.8999487352
