N_A,N_B,cost_yuan
1,5243,8.799574937600001
21,5066,8.7998890939
41,4888,8.7985277341
61,4711,8.7988418904
81,4534,8.7991560467
101,4357,8.799470203
121,4180,8.7997843593
141,4002,8.7984229995
161,3825,8.7987371558
181,3648,8.7990513121
201,3471,8.7993654684
221,3294,8.7996796247
241,3117,8.799993781
261,2939,8.7986324212
281,2762,8.7989465775
301,2585,8.7992607338
321,2408,8.7995748901
341,2231,8.7998890464
361,2053,8.7985276866
381,1876,8.7988418429
401,1699,8.7991559992
421,1522,8.7994701555
441,1345,8.7997843118
461,1167,8.798422952000001
481,990,8.798737108300001
501,813,8.799051264600001
521,636,8.799365420900001
541,459,8.799679577200001
561,282,8.799993733500001
581,104,8.7986323737
592,7,8.7993915903
