particle_count,volume_percent,estimate,wilson_lower,wilson_upper
300,0.42411500823462206,0.03185,0.029504819544948945,0.03437498381438183
304,0.42976987501108366,0.03395,0.03152826507534091,0.03655073173255422
308,0.4354247417875453,0.0366,0.034085300785314104,0.03929267823148366
312,0.44107960856400696,0.03905,0.03645262860052563,0.04182440943959723
316,0.44673447534046856,0.04205,0.039355265877011526,0.0449206199467747
320,0.45238934211693016,0.04525,0.04245565319614067,0.04821900359688648
324,0.45804420889339176,0.04845,0.045559990800755165,0.05151343696151292
328,0.46369907566985347,0.05165,0.0486679115470404,0.05480428718446862
332,0.46935394244631506,0.05515,0.05207093607635747,0.058399918402758814
336,0.47500880922277666,0.05865,0.055477528045259634,0.06199198218146392
340,0.4806636759992383,0.0626,0.05932602555842997,0.06604196758345035
344,0.48631854277569997,0.0669,0.06351984134197439,0.07044650028982344
348,0.49197340955216157,0.071,0.0675224265497318,0.07464234038640595
352,0.4976282763286232,0.0761,0.0725060198367863,0.0798567883315792
356,0.5032831431050848,0.0816,0.0778858895109324,0.08547480626081597
360,0.5089380098815465,0.0871,0.0832708695760176,0.09108771379911358
364,0.5145928766580081,0.0926,0.08866052513451218,0.09669594584400186
368,0.5202477434344698,0.0977,0.09366205849878331,0.10189245371195846
372,0.5259026102109313,0.1046,0.10043427574547135,0.10891758636769618
376,0.531557476987393,0.11175,0.10745793116631956,0.11619118483124567
380,0.5372123437638546,0.1191,0.11468395398627687,0.12366233908126362
384,0.5428672105403162,0.1268,0.12225997549899142,0.13148336021328505
388,0.5485220773167778,0.1338,0.12915211888756448,0.13858852831992655
392,0.5541769440932395,0.14165,0.1368862709496844,0.14655136129172577
396,0.559831810869701,0.15025,0.14536512436989102,0.15526920485135415
400,0.5654866776461627,0.1585,0.1535041933629668,0.1636269672633526
404,0.5711415444226244,0.1678,0.16268493432653022,0.17304265442914565
408,0.576796411199086,0.1782,0.1729583555804861,0.1835652388252228
412,0.5824512779755476,0.18795,0.18259577162448873,0.19342407807812614
416,0.5881061447520093,0.19805,0.1925849680983644,0.20363100247591714
420,0.5937610115284708,0.20985,0.20426256634099807,0.21554887218235944
424,0.5994158783049325,0.2205,0.21480824195982762,0.22629910619553484
428,0.6050707450813941,0.231,0.22521078777345221,0.23689252762473206
432,0.6107256118578557,0.24345,0.23755182783566767,0.2494467058647196
436,0.6163804786343173,0.256,0.24999886945069538,0.26209484414468365
440,0.6220353454107791,0.26845,0.26235322008136347,0.27463571181621865
444,0.6276902121872406,0.2808,0.27461443706905175,0.28706975153794456
448,0.6333450789637023,0.29485,0.288570501017337,0.3012082913764827
452,0.6389999457401639,0.3081,0.301738529504139,0.314535173934194
456,0.6446548125166255,0.32215,0.3157083555537769,0.32865995167137946
460,0.6503096792930871,0.33715,0.33063015314466615,0.3437323929988072
464,0.6559645460695488,0.35285,0.34625620160488196,0.35950031460642967
468,0.6616194128460103,0.36655,0.35989807381388617,0.3732531806094881
472,0.6672742796224721,0.3806,0.37389449655202905,0.3873513616581687
476,0.6729291463989336,0.39535,0.3885946769179609,0.40214551622858175
480,0.6785840131753953,0.41095,0.40414900142295407,0.4177852001986382
484,0.684238879951857,0.4254,0.41856301157213194,0.43226564020743885
488,0.6898937467283185,0.44315,0.43627698758992495,0.4500448469096542
492,0.6955486135047801,0.45885,0.4519525494688533,0.4657632550985641
496,0.7012034802812418,0.47715,0.470232772104517,0.48407600394324696
500,0.7068583470577033,0.4937,0.4867729060247231,0.5006295136295839
504,0.712513213834165,0.5098,0.502870595082049,0.5167256410112514
508,0.7181680806106268,0.5255,0.5185752644581378,0.5324149417030009
512,0.7238229473870883,0.54265,0.5357382045749411,0.549545414749473
516,0.72947781416355,0.55925,0.5523585790650491,0.5661186646623024
520,0.7351326809400116,0.5766,0.5697382142149661,0.5834323658612388
524,0.7407875477164731,0.59405,0.5872267421701246,0.6008371358477221
528,0.7464424144929348,0.6095,0.6027182845218008,0.6162396595819123
532,0.7520972812693965,0.62655,0.6198224026842458,0.6332289929899542
536,0.757752148045858,0.64245,0.635780885192278,0.6490644037353376
540,0.7634070148223197,0.66015,0.6535553582554832,0.6666831325957465
544,0.7690618815987814,0.6762,0.6696817108368548,0.6826506156569739
548,0.774716748375243,0.69235,0.6859173345322868,0.6987087891969298
552,0.7803716151517046,0.709,0.702665239938484,0.7152544889900642
556,0.7860264819281663,0.72515,0.7189199956415074,0.7312935305224285
560,0.7916813487046278,0.74015,0.7340263803323492,0.7461813847499037
564,0.7973362154810895,0.75615,0.7501500616059983,0.7620515583224593
568,0.802991082257551,0.7705,0.7646205002013222,0.776275608292325
572,0.8086459490340127,0.78465,0.7788986571063838,0.7902920167668757
576,0.8143008158104743,0.7976,0.7919746851220405,0.803111015017366
580,0.819955682586936,0.81015,0.8046553657074934,0.815525514326905
584,0.8256105493633976,0.82275,0.8173956742267215,0.8279803664990629
588,0.8312654161398593,0.8336,0.828374384179973,0.8386974893633939
592,0.8369202829163208,0.8457,0.8406272689451468,0.8506399573256624
