N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
464,0,17272,50000,0.34544,0.00212655216912,0.34128405133,0.34961969628
465,0,17472,50000,0.34944,0.00213228368844,0.345272511804,0.35363062122
466,0,17666,50000,0.35332,0.00213768555966,0.349141627516,0.357520909359
467,0,17840,50000,0.3568,0.00214239940254,0.352612122306,0.361009879879
468,0,18032,50000,0.36064,0.00214745798748,0.356441913836,0.364859498347
469,0,18241,50000,0.36482,0.00215279524154,0.360611133127,0.369049636813
470,0,18447,50000,0.36894,0.00215788450293,0.364720843025,0.373179293891
471,0,18640,50000,0.3728,0.0021624992948,0.368571502729,0.377048041112
472,0,18825,50000,0.3765,0.00216678448398,0.372262820655,0.380756154693
473,0,18998,50000,0.37996,0.0021706699353,0.375714940398,0.384223503333
474,0,19206,50000,0.38412,0.00217518654648,0.379865769458,0.388392035104
475,0,19401,50000,0.38802,0.00217926813219,0.383757471025,0.392299734315
476,0,19607,50000,0.39214,0.00218342034615,0.387869017277,0.396427555039
477,0,19808,50000,0.39616,0.00218731458368,0.391881076776,0.400454877882
478,0,20015,50000,0.4003,0.00219116366344,0.396013215551,0.404602103009
479,0,20189,50000,0.40378,0.0021942730532,0.399486854626,0.408087929245
480,0,20387,50000,0.40774,0.00219767191546,0.403439889535,0.412054285895
481,0,20568,50000,0.41136,0.00220064967862,0.407053775807,0.415679843423
482,0,20777,50000,0.41554,0.00220393515513,0.411227016019,0.419865960968
483,0,20974,50000,0.41948,0.00220688255057,0.415160937219,0.423811434401
484,0,21183,50000,0.42366,0.00220985159864,0.419334797546,0.427996931831
485,0,21384,50000,0.42768,0.00221255425967,0.423349192214,0.432021919505
486,0,21575,50000,0.4315,0.00221498419859,0.427164136708,0.43584638808
487,0,21777,50000,0.43554,0.00221740798411,0.431199076361,0.439890827696
488,0,22011,50000,0.44022,0.00222002861063,0.435873581089,0.444575603901
489,0,22227,50000,0.44454,0.0022222699584,0.44018885676,0.448899664477
490,0,22432,50000,0.44864,0.00222423987196,0.444284681272,0.453003210015
491,0,22670,50000,0.4534,0.00222633528472,0.449040209134,0.457766950795
492,0,22889,50000,0.45778,0.00222808200747,0.45341644953,0.462150037427
493,0,23109,50000,0.46218,0.00222966207126,0.457813014997,0.466552795915
494,0,23315,50000,0.4663,0.00223098323615,0.461930109349,0.47067506854
495,0,23518,50000,0.47036,0.00223213561595,0.465987539084,0.474737015
496,0,23738,50000,0.47476,0.002233217152,0.470385081534,0.479138796505
497,0,23939,50000,0.47878,0.00223405331897,0.474403134037,0.483160126343
498,0,24182,50000,0.48364,0.00223487069156,0.479261158839,0.488021354818
499,0,24384,50000,0.48768,0.00223538908291,0.483299832562,0.492062060363
500,0,24601,50000,0.49202,0.00223578317196,0.487638726838,0.496402499262
501,0,24814,50000,0.49628,0.00223600608944,0.491897962711,0.500662608855
502,0,25047,50000,0.50094,0.00223606402592,0.496557491174,0.505322364398
503,0,25243,50000,0.50486,0.00223596234494,0.500477389295,0.509241863983
504,0,25456,50000,0.50912,0.00223569597933,0.504737584034,0.513501014709
505,0,25685,50000,0.5137,0.0022352284447,0.509318148429,0.518079746613
506,0,25886,50000,0.51772,0.00223466329276,0.513338947149,0.522098330234
507,0,26093,50000,0.52186,0.00223392990221,0.517480066354,0.526236574932
508,0,26290,50000,0.5258,0.00223308916078,0.521421411304,0.530174624615
509,0,26516,50000,0.53032,0.00223195294574,0.525943290746,0.534692050691
510,0,26745,50000,0.5349,0.00223061422034,0.530525562446,0.539269075289
511,0,26952,50000,0.53904,0.00222924147817,0.534667934613,0.543406067026
512,0,27149,50000,0.54298,0.00222779137084,0.538610473759,0.547342922513
513,0,27383,50000,0.54766,0.00222588644993,0.543293847371,0.552018829835
514,0,27594,50000,0.55188,0.0022239984964,0.54751722307,0.556234805747
515,0,27846,50000,0.55692,0.00222153151497,0.552561670516,0.561269583923
516,0,28068,50000,0.56136,0.00221916628669,0.557005964646,0.565704607602
517,0,28294,50000,0.56588,0.0022165731461,0.561530699278,0.570219178487
518,0,28518,50000,0.57036,0.00221381783532,0.566015754793,0.574693434636
519,0,28743,50000,0.57486,0.00221086399582,0.570521197836,0.579187300184
520,0,28938,50000,0.57876,0.00220815245126,0.574426212137,0.583081686661
521,0,29176,50000,0.58352,0.00220465148992,0.579192707419,0.587834460021
522,0,29368,50000,0.58736,0.00220167313832,0.5830382492,0.591668328238
523,0,29594,50000,0.59188,0.00219799028933,0.587565119369,0.596180763586
524,0,29795,50000,0.5959,0.00219455321193,0.591591546302,0.600193718994
525,0,30010,50000,0.6002,0.00219070746564,0.595898752606,0.60448585201
526,0,30228,50000,0.60456,0.00218662848422,0.600266411378,0.608837523339
527,0,30452,50000,0.60904,0.00218224782461,0.60475465214,0.61330859424
528,0,30682,50000,0.61364,0.00217754885318,0.609363507488,0.617899032118
529,0,30884,50000,0.61768,0.00217325294248,0.613411615964,0.621930302911
530,0,31110,50000,0.6222,0.00216825810272,0.617941057277,0.626440167114
531,0,31326,50000,0.62652,0.00216329697268,0.622270447892,0.630750112747
532,0,31526,50000,0.63052,0.00215853899478,0.626279464964,0.634740481088
533,0,31758,50000,0.63516,0.00215282035665,0.630930315505,0.639368917628
534,0,31983,50000,0.63966,0.002147068161,0.635441242562,0.643857299161
535,0,32223,50000,0.64446,0.00214070693183,0.640253340111,0.648644464108
536,0,32438,50000,0.64876,0.00213480894883,0.644564568232,0.652932575308
537,0,32677,50000,0.65354,0.00212802945656,0.649357486995,0.657698922114
538,0,32876,50000,0.65752,0.00212220380548,0.653348597941,0.661667199654
539,0,33079,50000,0.66158,0.00211609027974,0.657420266896,0.665714906894
540,0,33301,50000,0.66602,0.0021092053461,0.661873418406,0.670141073194
541,0,33502,50000,0.67004,0.00210279051929,0.665905680895,0.674148193046
542,0,33707,50000,0.67414,0.00209606898932,0.67001853829,0.6782347057
543,0,33905,50000,0.6781,0.00208940369484,0.673991296231,0.682181339319
544,0,34110,50000,0.6822,0.002082321589,0.678104860249,0.68626714535
545,0,34322,50000,0.68644,0.00207480180451,0.682359271238,0.6904920829
546,0,34544,50000,0.69088,0.00206671152123,0.686814784878,0.694915887069
547,0,34765,50000,0.6953,0.00205843586249,0.691250663334,0.699319329495
548,0,34968,50000,0.69936,0.0020506369274,0.695325635193,0.703363733831
549,0,35166,50000,0.70332,0.00204284594427,0.699300599146,0.707308161437
550,0,35379,50000,0.70758,0.00203425929321,0.703577099335,0.711551006714
551,0,35570,50000,0.7114,0.00202637627305,0.707412254399,0.71535526472
552,0,35790,50000,0.7158,0.00201707887798,0.71183013668,0.719736706395
553,0,35964,50000,0.71928,0.00200955856645,0.715324607044,0.72320170134
554,0,36140,50000,0.7228,0.00200179999001,0.718859541263,0.726706226286
555,0,36337,50000,0.72674,0.00199293237417,0.722816616615,0.730628545567
556,0,36544,50000,0.73088,0.0019834032651,0.726974972935,0.73474955315
557,0,36732,50000,0.73464,0.00197455853496,0.73075201725,0.738491931124
558,0,36910,50000,0.7382,0.00196601505589,0.734328486556,0.742034914836
559,0,37100,50000,0.742,0.00195671152703,0.738146426898,0.745816390638
560,0,37295,50000,0.7459,0.00194696271151,0.742065232183,0.749696986131
561,0,37458,50000,0.74916,0.00193865569094,0.745341261121,0.752940456305
562,0,37630,50000,0.7526,0.00192973179484,0.748798485123,0.756362703759
563,0,37782,50000,0.75564,0.00192170856479,0.751853974799,0.759386746997
564,0,37961,50000,0.75922,0.00191209305004,0.755452543402,0.76294762834
565,0,38136,50000,0.76272,0.00190251518575,0.758971044356,0.766428589623
