N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
1,0,0,50000,0,0,0,7.6823274145e-05
2,0,0,50000,0,0,0,7.6823274145e-05
3,0,0,50000,0,0,0,7.6823274145e-05
4,0,0,50000,0,0,0,7.6823274145e-05
5,0,0,50000,0,0,0,7.6823274145e-05
6,0,0,50000,0,0,0,7.6823274145e-05
7,0,0,50000,0,0,0,7.6823274145e-05
8,0,0,50000,0,0,0,7.6823274145e-05
9,0,0,50000,0,0,0,7.6823274145e-05
10,0,0,50000,0,0,0,7.6823274145e-05
11,0,0,50000,0,0,0,7.6823274145e-05
12,0,0,50000,0,0,0,7.6823274145e-05
13,0,0,50000,0,0,0,7.6823274145e-05
14,0,0,50000,0,0,0,7.6823274145e-05
15,0,0,50000,0,0,0,7.6823274145e-05
16,0,0,50000,0,0,0,7.6823274145e-05
17,0,0,50000,0,0,0,7.6823274145e-05
18,0,0,50000,0,0,0,7.6823274145e-05
19,0,0,50000,0,0,0,7.6823274145e-05
20,0,0,50000,0,0,0,7.6823274145e-05
21,0,0,50000,0,0,0,7.6823274145e-05
22,0,0,50000,0,0,0,7.6823274145e-05
23,0,0,50000,0,0,0,7.6823274145e-05
24,0,0,50000,0,0,0,7.6823274145e-05
25,0,0,50000,0,0,0,7.6823274145e-05
26,0,0,50000,0,0,0,7.6823274145e-05
27,0,0,50000,0,0,0,7.6823274145e-05
28,0,0,50000,0,0,0,7.6823274145e-05
29,0,0,50000,0,0,0,7.6823274145e-05
30,0,0,50000,0,0,0,7.6823274145e-05
31,0,0,50000,0,0,0,7.6823274145e-05
32,0,0,50000,0,0,0,7.6823274145e-05
33,0,0,50000,0,0,0,7.6823274145e-05
34,0,0,50000,0,0,0,7.6823274145e-05
35,0,0,50000,0,0,0,7.6823274145e-05
36,0,0,50000,0,0,0,7.6823274145e-05
37,0,0,50000,0,0,0,7.6823274145e-05
38,0,0,50000,0,0,0,7.6823274145e-05
39,0,0,50000,0,0,0,7.6823274145e-05
40,0,0,50000,0,0,0,7.6823274145e-05
41,0,0,50000,0,0,0,7.6823274145e-05
42,0,0,50000,0,0,0,7.6823274145e-05
43,0,0,50000,0,0,0,7.6823274145e-05
44,0,0,50000,0,0,0,7.6823274145e-05
45,0,0,50000,0,0,0,7.6823274145e-05
46,0,0,50000,0,0,0,7.6823274145e-05
47,0,0,50000,0,0,0,7.6823274145e-05
48,0,0,50000,0,0,0,7.6823274145e-05
49,0,0,50000,0,0,0,7.6823274145e-05
50,0,0,50000,0,0,0,7.6823274145e-05
51,0,0,50000,0,0,0,7.6823274145e-05
52,0,0,50000,0,0,0,7.6823274145e-05
53,0,0,50000,0,0,0,7.6823274145e-05
54,0,0,50000,0,0,0,7.6823274145e-05
55,0,0,50000,0,0,0,7.6823274145e-05
56,0,0,50000,0,0,0,7.6823274145e-05
57,0,0,50000,0,0,0,7.6823274145e-05
58,0,0,50000,0,0,0,7.6823274145e-05
59,0,0,50000,0,0,0,7.6823274145e-05
60,0,0,50000,0,0,0,7.6823274145e-05
61,0,0,50000,0,0,0,7.6823274145e-05
62,0,0,50000,0,0,0,7.6823274145e-05
63,0,0,50000,0,0,0,7.6823274145e-05
64,0,0,50000,0,0,0,7.6823274145e-05
65,0,0,50000,0,0,0,7.6823274145e-05
66,0,0,50000,0,0,0,7.6823274145e-05
67,0,0,50000,0,0,0,7.6823274145e-05
68,0,0,50000,0,0,0,7.6823274145e-05
69,0,0,50000,0,0,0,7.6823274145e-05
70,0,0,50000,0,0,0,7.6823274145e-05
71,0,0,50000,0,0,0,7.6823274145e-05
72,0,0,50000,0,0,0,7.6823274145e-05
73,0,0,50000,0,0,0,7.6823274145e-05
74,0,0,50000,0,0,0,7.6823274145e-05
75,0,0,50000,0,0,0,7.6823274145e-05
76,0,0,50000,0,0,0,7.6823274145e-05
77,0,0,50000,0,0,0,7.6823274145e-05
78,0,0,50000,0,0,0,7.6823274145e-05
79,0,0,50000,0,0,0,7.6823274145e-05
80,0,0,50000,0,0,0,7.6823274145e-05
81,0,0,50000,0,0,0,7.6823274145e-05
82,0,0,50000,0,0,0,7.6823274145e-05
83,0,0,50000,0,0,0,7.6823274145e-05
84,0,0,50000,0,0,0,7.6823274145e-05
85,0,0,50000,0,0,0,7.6823274145e-05
86,0,0,50000,0,0,0,7.6823274145e-05
87,0,0,50000,0,0,0,7.6823274145e-05
88,0,0,50000,0,0,0,7.6823274145e-05
89,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
90,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
91,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
92,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
93,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
94,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
95,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
96,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
97,0,3,50000,6e-05,3.46399769053e-05,2.0405619613e-05,0.000176408435739
98,0,3,50000,6e-05,3.46399769053e-05,2.0405619613e-05,0.000176408435739
99,0,3,50000,6e-05,3.46399769053e-05,2.0405619613e-05,0.000176408435739
100,0,5,50000,0.0001,4.47191234261e-05,4.2714755136e-05,0.000234093154354
101,0,6,50000,0.00012,4.89868553798e-05,5.49981999325e-05,0.000261806636627
102,0,6,50000,0.00012,4.89868553798e-05,5.49981999325e-05,0.000261806636627
103,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
104,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
105,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
106,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
107,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
108,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
109,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
110,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
111,0,7,50000,0.00014,5.29113220398e-05,6.78188743797e-05,0.000288982889249
112,0,8,50000,0.00016,5.65640168305e-05,8.1078132814e-05,0.000315720557883
